Date,Open,High,Low,Close ,Adj Close ,Volume
2-May-23,113.94,113.94,109.29,110.1,102.83,"24,324,100"
1-May-23,115.99,117.3,114.45,114.67,107.09,"17,355,000"
28-Apr-23,117.25,119.92,116.83,118.34,110.52,"24,374,000"
27-Apr-23,115.62,117.01,114.88,116.83,109.11,"16,279,200"
26-Apr-23,116.03,117.09,114.68,115.45,107.82,"15,566,100"
25-Apr-23,117.55,117.74,115.63,116.52,108.82,"12,179,800"
24-Apr-23,115.92,118.89,115.88,118.2,110.39,"15,831,300"
21-Apr-23,116.49,116.88,115.26,116.01,108.35,"14,315,300"
20-Apr-23,115.13,115.68,113.23,115.64,108,"17,038,700"
19-Apr-23,116.08,116.9,115.77,116.57,108.87,"10,682,600"
18-Apr-23,114.39,117.21,114.3,116.94,109.21,"17,436,100"
17-Apr-23,115.49,116.51,114.42,114.7,107.12,"13,260,400"
14-Apr-23,115.9,116.66,115.12,116.05,108.38,"11,530,800"
13-Apr-23,114.6,115.89,114.13,115.77,108.12,"12,399,700"
12-Apr-23,116.16,116.59,114.93,115.23,107.62,"10,919,000"
11-Apr-23,114.96,116.2,114.38,115.35,107.73,"11,758,500"
10-Apr-23,114.78,116.18,114.17,114.54,106.97,"13,006,600"
6-Apr-23,116.86,117.18,114.77,115.05,107.45,"15,778,000"
5-Apr-23,115.35,117,114.31,116.99,109.26,"16,479,500"
4-Apr-23,116.26,116.7,114.17,115.02,107.42,"16,365,500"
3-Apr-23,113.39,116.85,113.12,116.13,108.46,"28,087,700"
31-Mar-23,109.68,110.17,109.05,109.66,102.41,"14,418,000"
30-Mar-23,109.55,109.57,108.52,109.49,102.26,"11,578,200"
29-Mar-23,108.06,109.16,107.49,108.96,101.76,"14,219,100"
28-Mar-23,105.44,107.65,105.19,107.12,100.04,"11,047,600"
27-Mar-23,104.74,106.48,103.91,105.8,98.81,"14,805,900"
24-Mar-23,101.47,103.85,100.91,103.53,96.69,"13,401,600"
23-Mar-23,105.36,106.34,102.44,103.41,96.58,"14,385,900"
22-Mar-23,106.8,107.18,104.56,104.59,97.68,"14,952,700"
21-Mar-23,104.17,107.28,104.13,107.04,99.97,"31,592,300"
20-Mar-23,99.63,102.48,99.5,102.45,95.68,"32,042,100"
17-Mar-23,100.6,101.61,99.14,99.84,93.24,"43,199,500"
16-Mar-23,99.11,101.68,98.02,101.03,94.35,"27,465,200"
15-Mar-23,102.82,104.2,100.22,101.62,94.91,"25,733,800"
14-Mar-23,106.35,109.01,104.96,106.94,99.87,"18,263,500"
13-Mar-23,105.34,107.86,103.72,106.54,99.5,"20,745,600"
10-Mar-23,109.56,111.04,107.15,107.78,100.66,"15,795,700"
9-Mar-23,110.87,112.23,109.03,109.13,101.92,"12,961,200"
8-Mar-23,111.23,112.42,109.07,109.98,102.71,"13,509,800"
7-Mar-23,112.81,113.17,111.17,111.61,104.24,"11,525,300"
6-Mar-23,111.99,113.84,111.87,113.81,106.29,"14,347,400"
3-Mar-23,110.05,113.37,109.95,112.81,105.36,"13,006,700"
2-Mar-23,110.62,111.7,110.17,111.4,104.04,"10,339,900"
1-Mar-23,109.31,111.86,109.24,110.89,103.56,"13,200,000"
28-Feb-23,111.24,111.36,109.22,109.91,102.65,"18,107,000"
27-Feb-23,110.8,111.26,109.96,110.55,103.25,"11,710,500"
24-Feb-23,109.33,110.96,109.02,110.75,103.43,"14,351,000"
23-Feb-23,110.73,111.83,109.9,110.74,103.42,"11,289,400"
22-Feb-23,110.48,110.97,108.64,109.73,102.48,"13,973,800"
21-Feb-23,110.81,112.38,110.81,111.17,103.82,"14,469,400"
17-Feb-23,114.19,114.19,110.98,111.28,103.93,"20,758,300"
16-Feb-23,115.31,116.78,114.8,115.73,108.08,"11,360,600"
15-Feb-23,115.72,116.09,114.14,116.07,108.4,"13,663,400"
14-Feb-23,117.01,117.81,116.02,116.42,108.73,"12,079,000"
13-Feb-23,117.72,118.18,115.9,117.8,110.02,"14,536,200"
10-Feb-23,116.51,119.63,116.16,119.17,110.45,"24,918,600"
9-Feb-23,114.62,116.24,114.18,114.35,105.98,"17,439,300"
8-Feb-23,115.05,115.83,113.85,113.92,105.58,"18,459,700"
7-Feb-23,112.39,115.31,112.02,114.92,106.51,"16,013,300"
6-Feb-23,112.36,113.09,110.32,111.73,103.55,"13,855,200"
3-Feb-23,111.9,114.11,111.56,111.92,103.73,"20,226,600"
2-Feb-23,114.85,115.07,109.83,111.15,103.01,"24,562,100"
1-Feb-23,115.83,117.38,113.34,114.74,106.34,"19,464,900"
31-Jan-23,112.1,116.4,110.43,116.01,107.52,"27,861,800"
30-Jan-23,115.09,115.49,113.15,113.56,105.25,"18,672,100"
27-Jan-23,116.95,117.67,115.39,115.61,107.15,"15,179,200"
26-Jan-23,114.72,117.78,114.34,117.76,109.14,"21,019,700"
25-Jan-23,113.23,113.65,111.39,113.21,104.92,"11,914,700"
24-Jan-23,109.16,114.02,104.87,113.81,105.48,"13,583,000"
23-Jan-23,113.64,114.59,112.64,112.76,104.51,"16,584,400"
20-Jan-23,111.36,113.44,110.61,113.35,105.05,"16,515,600"
19-Jan-23,110.07,112.13,109.58,111.32,103.17,"12,928,000"
18-Jan-23,113.26,114.12,110.4,110.61,102.51,"16,399,700"
17-Jan-23,113.41,114.08,112.67,112.93,104.66,"16,542,200"
13-Jan-23,113.11,113.49,112.16,113.15,104.87,"12,011,400"
12-Jan-23,111.82,113.74,111.74,113.22,104.93,"15,357,300"
11-Jan-23,110.99,111.45,109.09,111.37,103.22,"16,710,400"
10-Jan-23,109.79,110.33,108.01,110.09,102.03,"15,104,600"
9-Jan-23,111.64,111.64,107.81,108.47,100.53,"17,964,600"
6-Jan-23,110.08,111.99,109.67,110.53,102.44,"16,348,100"
5-Jan-23,106.34,109.95,106.31,109.21,101.22,"15,946,600"
4-Jan-23,104.8,107.16,104.76,106.82,99,"18,058,400"
3-Jan-23,109.78,110.02,105.49,106.51,98.71,"15,146,200"
30-Dec-22,108.61,110.5,108.61,110.3,102.23,"11,799,600"
29-Dec-22,107.99,109.72,107.99,109.2,101.21,"10,534,000"
28-Dec-22,109.91,110,107.9,108.38,100.45,"10,702,100"
27-Dec-22,109.27,110.47,108.83,110.19,102.12,"11,962,100"
23-Dec-22,106.95,108.74,106.9,108.68,100.72,"11,539,400"
22-Dec-22,107.89,108.19,104.1,105.88,98.13,"13,213,000"
21-Dec-22,108.29,108.59,107.16,108.06,100.15,"13,565,400"
20-Dec-22,105.17,107.51,105.07,106.69,98.88,"14,680,000"
19-Dec-22,105.26,106.2,104.38,105.17,97.47,"13,611,100"
16-Dec-22,103.69,105.58,103.13,104.7,97.04,"54,596,600"
15-Dec-22,105.33,106.17,103.7,105.44,97.72,"15,365,100"
14-Dec-22,107.99,108.3,105.75,106.46,98.67,"17,597,300"
13-Dec-22,107.8,108.54,107.02,107.25,99.4,"24,305,300"
12-Dec-22,103.83,106.24,103.59,106.09,98.32,"20,413,200"
9-Dec-22,104.59,105.95,103.3,103.54,95.96,"21,298,200"
8-Dec-22,106.28,106.8,103.71,104.42,96.78,"21,128,800"
7-Dec-22,103.78,104.85,102.37,103.65,96.06,"20,061,700"
6-Dec-22,105.9,107.04,103.15,103.88,96.28,"21,197,000"
5-Dec-22,110.7,111.36,105.94,106.85,99.03,"19,287,700"
2-Dec-22,109.51,111.71,109.2,109.86,101.82,"15,248,400"
1-Dec-22,111.64,112.07,110.18,110.8,102.69,"14,398,300"
30-Nov-22,111.54,111.9,109.78,111.34,103.19,"23,158,100"
29-Nov-22,110.61,111.8,109.79,110.54,102.45,"14,453,200"
28-Nov-22,110.66,111.46,109.62,109.81,101.77,"23,015,500"
25-Nov-22,113.88,114.61,113.06,113.21,104.92,"7,136,000"
23-Nov-22,112.32,113.95,112.1,113.61,105.29,"11,546,700"
22-Nov-22,112.21,114.47,111.43,114.18,105.82,"17,719,100"
21-Nov-22,109.99,111.2,107.48,110.97,102.85,"20,973,000"
18-Nov-22,110.9,112.48,109.61,112.08,103.88,"15,415,000"
17-Nov-22,111.29,113.2,110.75,113.06,104.78,"12,425,900"
16-Nov-22,113.44,114.26,111.86,112.91,104.64,"13,591,000"
15-Nov-22,113.8,114.53,112.87,114.13,105.78,"19,373,800"
14-Nov-22,112.63,114.64,112.49,113.37,105.07,"20,858,300"
11-Nov-22,112.58,114.5,112.49,113.95,104.77,"20,518,900"
10-Nov-22,110.19,110.7,107.57,110.5,101.59,"20,146,700"
9-Nov-22,113.1,113.28,108.57,108.9,100.12,"19,522,800"
8-Nov-22,113.48,114.66,112.6,114,104.81,"14,661,000"
7-Nov-22,112.41,113.99,112.13,113.64,104.48,"16,008,000"
4-Nov-22,113,113.5,110.8,112.31,103.26,"17,541,500"
3-Nov-22,108.58,111.82,108.31,111.1,102.14,"17,103,700"
2-Nov-22,111.58,112.1,109.31,109.61,100.78,"20,654,200"
1-Nov-22,112.37,112.57,110.65,111.91,102.89,"22,213,100"
31-Oct-22,109.5,112.91,109.44,110.81,101.88,"26,401,800"
28-Oct-22,109.46,111.21,108.12,110.7,101.78,"28,169,400"
27-Oct-22,108.41,109.58,107.42,107.55,98.88,"18,214,000"
26-Oct-22,106.26,107.83,106,107.14,98.5,"17,383,800"
25-Oct-22,106.41,107.33,105.07,105.88,97.35,"15,719,800"
24-Oct-22,105.66,107.68,105.12,106.6,98.01,"17,024,200"
21-Oct-22,104.45,106.4,103.91,105.86,97.33,"22,814,100"
20-Oct-22,104.32,105,103.41,103.93,95.55,"17,649,000"
19-Oct-22,101.25,103.99,101.23,103.79,95.42,"20,921,700"
18-Oct-22,101.54,102.35,99.23,100.8,92.68,"14,065,400"
17-Oct-22,101.07,101.97,100.5,100.62,92.51,"14,283,200"
14-Oct-22,101.12,102.24,99.04,99.19,91.19,"15,222,000"
13-Oct-22,97.55,102.45,97.4,101.87,93.66,"22,019,100"
