Date,Close/Last,Volume,Open,High,Low,,,,,,,,,
2/18/22,$133.42 ,10691820,$132.82 ,$133.91 ,$132.05 ,,,,,,,,,
2/17/22,$133.61 ,10073940,$134.17 ,$134.58 ,$132.45 ,,,,,,,,,
2/16/22,$134.30 ,11348840,$134.95 ,$136.16 ,$133.76 ,,,,,,,,,
2/15/22,$134.26 ,11752000,$133.08 ,$134.84 ,$132.18 ,,,,,,,,,
2/14/22,$136.67 ,15944960,$137.94 ,$138.05 ,$135.05 ,,,,,,,,,
2/11/22,$138.81 ,12821230,$136.86 ,$139.44 ,$136.28 ,,,,,,,,,
2/10/22,$136.04 ,11012720,$137.56 ,$138.79 ,$135.39 ,,,,,,,,,
2/9/22,$137.79 ,10140780,$136.72 ,$138.34 ,$136.10 ,,,,,,,,,
2/8/22,$136.44 ,11021580,$138.18 ,$138.43 ,$135.01 ,,,,,,,,,
2/7/22,$138.55 ,18422550,$135.34 ,$139.43 ,$134.83 ,,,,,,,,,
2/4/22,$135.88 ,13034730,$135.01 ,$137.00 ,$135.01 ,,,,,,,,,
2/3/22,$134.20 ,9447690,$134.85 ,$135.35 ,$133.19 ,,,,,,,,,
